Заголовок;Тип ЗМІ;Джерело;Країна;Регіон;Місто;Рівень видання;Рубрика;Дата виходу;Дата обробки;URL;Анотація;Ім'я автора;Країна автора;Назва місця публікації;Кількість лайків;Кількість репостів;Кількість коментарів;Сумарна кількість переглядів разом із дублями;Тип повідомлення
"Увага! Летить ""Орешник"": чи будуть додатково попереджати українців про можливу атаку МБР";Інтернет;Focus.ua;Україна;Київ (Центральні);;ТОП-100;Новини та медіа;22.11.2024 18:00;22.11.2024 18:03;https://focus.ua/uk/eksklyuzivy/679989-poperedzhennya-pro-udar-oreshnikom-yak-budut-opovishchati-ukrajinciv; Про те, що РФ готує удар по Україні ракетою середньої дальності було відомо як мінімум напередодні атаки, принаймні про це знали США. Лідер Кремля заявив, що тепер перед черговим запуском буде попередження мирних жителів про необхідність покинути зони можливого ураження. Опитані  Фокусом  експерти нагадують: у інших війнах жодна зі сторін не попереджала про плани атакувати.   Вранці 21 ;;;;;;;3305;
"""Увага! Повітряна тривога"": як українці стежать за російськими ракетами та безпілотниками через месенджер";Інтернет;espreso.tv;Україна;Київ (Центральні);;ТОП-100;Новини та медіа;04.03.2024 20:17;04.03.2024 20:40;https://espreso.tv/article-uvaga-povitryana-trivoga-yak-ukraintsi-stezhat-za-rosiyskimi-raketami-ta-bezpilotnikami-cherez-mesendzher;З початком повномасштабного вторгнення Росії в Україну звуки ракетного оповіщення ще довго відлунювали в головах українців фантомною сиреною. Сьогодні алгоритм дій дещо змінився. Замість того щоб хапатися за рюкзак з першим гудінням під вікнами, люди просто дістають смартфон, щоб перевірити повідомлення в Телеграмі. Журналістка Вікторія Іваскевич, яка мешкає у Львові, поспілкувалася із;;;;;;;2433;
Світ, у якому терор виграє, не сподобається нікому, саме тому Путін повинен програти  звернення Президента України  Новини Полтавщини;Інтернет;top-news.com.ua;Україна;Київ (Центральні);;Маловідомий;Консолідатори;29.02.2024 20:29;29.02.2024 21:20;https://top-news.com.ua/mista/poltava/svit-u-yakomu-teror-vygraye-ne-spodobayetsya-nikomu-same-tomu-putin-povynen-prograty-zvernennya-prezydenta-ukrayiny-novyny-poltavshhyny/;     Бажаю здоровя, шановні українці, українки!    Перше. Кілька підсумків щодо візитів. Головне  є нові оборонні домовленості, нові пакети. Буде більше артилерії та більше нашого спільного виробництва з партнерами. Кожну зустріч і кожен день ми використовуємо для того, щоб можна було додати можливостей нашим воїнам. Я дякую всім партнерам, які допомагають так, як потрібно. І вчасно, б;;;;;;;;
Сили оборони відбили атаки росіян на шести напрямках,  зведення Генштабу  Новини Полтавщини;Інтернет;top-news.com.ua;Україна;Київ (Центральні);;Маловідомий;Консолідатори;29.02.2024 21:20;29.02.2024 21:32;https://top-news.com.ua/mista/poltava/syly-oborony-vidbyly-ataky-rosiyan-na-shesty-napryamkah-zvedennya-genshtabu-novyny-poltavshhyny/;       Оперативна інформація Генерального штабу ЗСУ станом на 18.00 29.02.2024 щодо російського вторгнення    Протягом доби відбулося 73 бойових зіткнення. Загалом ворог завдав 2 ракетних та 79 авіаційних ударів, здійснив 90 обстрілів з реактивних систем залпового вогню по позиціях наших військ та населених пунктах. Внаслідок російських терористичних атак, на жаль, є загиблі та поранені ;;;;;;;;
Відпочинок, подорожі та навчання: як учні Ківерцівського ліцею 4 вивчали англійську мову у Фінляндії;Інтернет;www.rayon.in.ua;Україна;Волинська область;Луцьк;ТОП-100;Новини та медіа;24.07.2024 14:10;24.07.2024 14:17;https://rayon.in.ua/topics/723912-vidpochinok-podorozhi-ta-navchannya-yak-uchni-kivertsivskogo-litseyu-4-vivchali-angliysku-movu-u-finlyandii; Літні канікули  пора відпочинку та розваг. Учні ж ківерцівського ліцею 4 спробували поєднати корисне з приємним й разом з педагогинями англійської та польської мов вирушили до Фінляндії в освітній табір міста Гуйттінен.   Діти вивчали англійську мову, подорожували та спілкувалися. У подорожі юних туристів супроводжували  Олена Яцентюк, Тетяна Цьомах, Оксана Циц та Ірина Кольцова.    С;;;;;;;1815;
Сили оборони відбили 20 російських атак на Авдіївському та шість  на Лиманському напрямках,  зведення Генштабу  Новини Полтавщини;Інтернет;top-news.com.ua;Україна;Київ (Центральні);;Маловідомий;Консолідатори;01.03.2024 21:53;01.03.2024 22:04;https://top-news.com.ua/mista/poltava/syly-oborony-vidbyly-20-rosijskyh-atak-na-avdiyivskomu-ta-shist-na-lymanskomu-napryamkah-zvedennya-genshtabu-novyny-poltavshhyny/;     Оперативна інформація станом на 18.00 01.03.2024 щодо російського вторгнення. Триває сімсот тридцять сьома доба широкомасштабної збройної агресії російської федерації проти нашої держави.    Загалом ворог завдав 6 ракетних та 79 авіаційних ударів, здійснив 62 обстріли з реактивних систем залпового вогню по позиціях наших військ та населених пунктах. Внаслідок російських терористични;;;;;;;;
Нова масована повітряна атака 27 серпня: була 91 ворожа ціль, є загиблі і руйнування  що відомо;Інтернет;nikopolnews.net;Україна;Дніпропетровська область;Нікополь;Регіональний;Новини та медіа;27.08.2024 10:42;27.08.2024 10:42;https://nikopolnews.net/ukraina/povitriana-ataka-27-serpnia/; Нова масована повітряна атака 27 серпня була здійснена росіянами. Вони запускали по Україні ракети і Шахеди. Кількість ворожих цілей наближалася до сотні. Під атакою були 16 областей. На жаль, є жертви, постраждалі та руйнування.      Новини України  НСН  розповідають все, що відомо про нову масовану атаку на цей момент. Новина доповнюється.   Інформація від Повітряних сил   У Пові;Юлія Коваленко;;;;;;261;
Як легко спіймати квиток на поїзд Україна-Польща: дієві поради;Інтернет;nashemisto.dp.ua;Україна;Дніпропетровська область;Дніпро;Регіональний;Новини та медіа;11.08.2024 15:00;11.08.2024 15:05;https://nashemisto.dp.ua/2024/08/11/iak-lehko-spiimaty-kvytok-na-poizd-ukraina-polshcha-diievi-porady/; Після початку повномасштабного вторгнення багато українців виїхали за кордон, проте тепер вони часто повертаються в Україну, щоб побачити рідних і близьких. З іншого боку, ті, хто залишився в країні, за два роки війни втомилися й прагнуть виїхати за кордон зараз. Однак, і для одних, і для інших єдина доступна опція для поїздок  автобус, адже потяг до Польщі з України став чимось на кшт;Валерія Федоренко;;;;;;1113;
33 рік Незалежності. Успіхи українців на міжнародній творчій арені, якими ми пишаємося;Інтернет;NV.ua;Україна;Київ (Центральні);;ТОП-100;Новини та медіа;26.08.2024 16:27;26.08.2024 16:27;https://life.nv.ua/ukr/art/33-roki-nezalezhnosti-pershiy-oskar-bafta-ta-56-kapelyushkiv-dlya-beyonse-uspihi-ukrajinciv-50445497.html;24 серпня NV пригадує ключові перемоги України в сфері культури та креативу за 33-ій рік незалежності, адже українці продовжують дивувати не тільки світ, а й самих себе.Україна святкує 33 роки з Дня проголошення Незалежності. Десять років з них українці живуть в умовах війни, розпочатої Росією, два з половиною  у стані повномасштабного вторгнення. Цей рік був сповнений емоційних гойдало;;;;;;;2542;
Чинні правила в'ізду в Украіну: перетин кордону, необхідні документи, візові правила, обмеження;Інтернет;visitukraine.today;Україна;Київ (Центральні);;Національний;Подорожі та туризм;24.10.2023 17:30;30.10.2024 16:30;https://visitukraine.today/uk/blog/2792/current-rules-for-entering-ukraine-border-crossing-required-documents-visa-requirements-restrictions; Украінці, іноземні громадяни та особи без громадянства можуть вільно в'іжджати на територію Украіни під час віини, однак при дотриманні певних обмежень. Дізнаитесь все про актуальні правила перетину украінського кордону та необхідні для цього документи       Згідно з офіціиними даними, отриманими від Адміністраціі прикордонноі служби Украіни на запит Visit Ukraine, з січня по ;;;;;;;8421;
Гість студії - Олександр Хорунжий;ТБ;ICTV (марафон);Україна;Київ (Центральні);Київ;Національний;Новини та медіа;27.11.2024 07:50;28.11.2024 02:55;https://videostorage1.looqme.io/storage_tv/ICTV/2024-11-27/ICTV-2024-11-27T07:50:00+02:00-2024-11-27T07:59:00+02:00.mp4?prime=False;Далі говоримо про те, як зігрітися та підзарядитися. Підрозділів ДСНС в Україні вже розгорнули понад 700 пунктів незглавності. Вони стаціонарні, тому вже готові приймати людей. Пункти відкриті на базі пожежно-рятувальних підрозділів або інших центральних підрозділів підпорядкування ДСНС. А додатково планують розгорнути ще і мобільні пункти-намети. Яку допомогу та які послуги можна отрима;;;;;;;77596;
Це не місця для схову, це  братські могили: куди йдуть під час повітряної тривоги мешканці Молодіжного;Інтернет;telegraf.in.ua;Україна;Полтавська область;Кременчук;Регіональний;Новини та медіа;20.03.2024 08:22;20.03.2024 08:22;https://www.telegraf.in.ua/topnews/10126824-ce-ne-miscja-dlja-shovu-ce-bratski-mogili-kudi-jdut-pid-chas-povitrjanoji-trivogi-meshkanci-molodizhnogo.html;     Росіяни активізували атаки на Кременчук та Кременчуцький район. Поки у провладних кабінетах звітують, що під час повітряної тривоги варто ховатися в укриття, містяни у коментарях під нашими публікаціями обурюються, що ховатися їм ніде. Кременчуцький Телеграф вирішив перевірити рандомні укриття та підвали для схову на Молодіжному   За понад два роки війни у Полтавській області прол;Роксолана Жукова;;;;;;478;
Запитали у IT-компаній про найвизначніші проєкти, які допомагають боронити українську землю і відстоювати нашу незалежність. Ось Атлас добрих справ українського IT. Додавайтесь;Інтернет;dev.ua;Україна;Київ (Центральні);;Національний;Технології;22.08.2024 09:00;22.08.2024 09:29;https://dev.ua/news/atlas-dobrykh-sprav-1724239053;   Напередодні 33 річниці Незалежності України ми вирішили спитати українські IT-компанії про те, якими проєктами, реалізованими під час великої війни, вони пишаються найбільше. Завдання обрати одну ініціативу, звісно, не з простих, адже благодійних проєктів, реалізованих українським IT під час війни, надзвичайно багато. Цей проєкт ми назвали Атласом добрих справ українського IT.   Напер;Марія Бровінська;;;;;;955;
Сучасний вчитель, як діджей в нічних клубах, має міксувати: вечори фіналіста Global Teacher Prize Ukraine, вчителя з Харківщини Влада Акименка;Інтернет;vechir.media;Україна;Київ (Центральні);;Маловідомий;Новини та медіа;22.10.2024 10:06;22.10.2024 11:43;https://vechir.media/suchasnyj-vchytel-yak-didzhej-v-nichnyh-klubah-maye-miksuvaty-vechory-finalista-global-teacher-prize-ukraine-vchytelya-z-harkivshhyny-vlada-akymenka/;   Моє імя назвали, а я не усвідомлюю, що мова про мене,  пригадує вчитель Владислав Акименко вечір , коли увійшов у 10-ку найкращих педагогів України премії Global Teacher Prize Ukraine 2024.     А ще став переможцем категорії Інклюзивність, яку підтримав Uklon  передав вчителю 250 000 на розвиток інклюзивного класу.     Вийдемо за межі класу!,  на премію Владислав хоче орган;Віта Корнієнко;;;;;;625;
ми всі пішли на Схід бо хто якщо не ми: в Дрогобичі відкрито виставку світлин вбитого рашистами поета, мистця, кулеметникаМаксима Кривцова Далі;Інтернет;maydan.drohobych.net;Україна;Львівська область;Дрогобич;Регіональний;Новини та медіа;01.12.2024 06:43;04.12.2024 07:24;http://maydan.drohobych.net/;  Вчора, 30 грудня. в Дрогобичі у приміщенні Молодіжного простору відкрито виставку, яка, без жодної пересади, приверне увагу багатьох городян і гостей міста й отримає розголос не менший, ніж виставки світлин Поета-захисника максима Кривцова в инших містах.Далі: я поверну собі своє життя, обіцяю  це добірка знятих на плівку 24-х фотографій поета Максима Кривцова. ним самим оцифрованих;;;;;;;11;
 12 км від Росії: як за два роки широкої війни змінилося життя прикордонної Семенівки на Чернігівщині - Новини України ;Інтернет;proua.com.ua;Україна;Київ (Центральні);;Маловідомий;Консолідатори;25.02.2024 06:00;08.08.2024 06:38;https://proua.com.ua/12-km-vid-rosii-iak-za-dva-roki-shirokoi-viini-zminilosia-jittia-prikordonnoi-semenivki-na-chernigivshini/;" За інформацією: Суспільне Чернігів. Опудало з підписом Путін. ФОТО: Суспільне Чернігів Місто періодично потрапляє під ворожий обстріл зі ствольної артилерії, з ""Градів"", можуть атакувати ""Шахедами"". У 2023 році дрон-камікадзе поцілив у міську раду в ніч на 23 серпня, якраз напередодні Дня Державного прапора України, згадує голова Семенівської громади Сергій Деденко. ""Коли Шахед лети";;;;;;;1;
Гість Єгор Чернєв;ТБ;ICTV;Україна;Київ (Центральні);Київ;Національний;Новини та медіа;15.07.2024 21:49;16.07.2024 00:16;https://videostorage1.looqme.io/storage_tv/ICTV/2024-07-15/ICTV-2024-07-15T21:49:00+03:00-2024-07-15T22:01:00+03:00.mp4?prime=False;І давайте підсумуємо саміт НАТО у Вашингтоні, який відбувся минулого тижня. З нами зараз на зв'язку народний депутат України, голова постійної делегації України у парламентській асамблеї НАТО Єгор Чернєв. Пане Єгоре, добрий вечір. Добрий вечір, Яна. Сьогодні президент Володимир Зеленський давав прес-конференцію, на якій, зокрема, назвав саміт НАТО у Вашингтоні найпотужнішим з точки зору ;;;;;;;2177623;
#DOVIDKA.INFO: Звязок та пошук інформації;Інтернет;Житомирська ОДА;Україна;Житомирська область;Житомир;Регіональний;Урядове;09.09.2024 17:37;09.09.2024 18:03;https://oda.zht.gov.ua/news/dovidka-info-zv-yazok-ta-poshuk-informatsiyi/; #DOVIDKA.INFO: Звязок та пошук інформації   09 Вересня 2024  17:37   Кіл-сть переглядів: 41   Сусідські чати: як ділитись інформацією безпечно     Під час війни через напружене безпекове становище в країні українці стали більше обмінюватись інформацією в групових чатах месенджерів та соцмереж. Бути на звязку із сусідами в сьогоднішніх реаліях  потрібно. Це питання безпеки, поінформо;;;;;;;171;
Укрзалізниця запускає бета-тестування моніторингу квитків з автовикупом ;Інтернет;hromadske.pl.ua;Україна;Полтавська область;Полтава;Регіональний;Консолідатори;07.03.2024 15:20;07.03.2024 16:34;https://hromadske.pl.ua/novyny/np/ukrzaliznytsia-zapuskaie-beta-testuvannia-monitorynhu-kvytkiv-z-avtovykupom/; Укрзалізниця запускає бета-тестування моніторингу квитків з автовикупом Укрзалізниця розпочала бета-тестування нової функції, яка дозволить вам відстежувати наявність квитків на поїзди внутрішнього сполучення та автоматично їх купувати. Джерело: пресслужба Укрзалізниці Як це працює?  Завантажте тестовий додаток: iOS: TestFlight: https://testflight.apple.com/join/K7nTuJQ Android: Google ;;;;;;;;
Заборонити не можна дозволити? Гаджети в школі  всі за та проти використання телефонів під час навчання;Інтернет;vikna.tv;Україна;Київ (Центральні);;Національний;Новини та медіа;24.05.2024 09:00;24.05.2024 09:28;https://vikna.tv/dlia-tebe/dity-ta-gadzhety-v-shkoli-chy-mozhe-zaborona-telefoniv-buty-diyevoyu-dlya-navchannya/; Знову у своєму телефоні сидиш!  принаймні раз таку фразу чула майже кожна сучасна дитина. Ми часто асоціюємо гаджети з чимось поганим та шкідливим, особливо коли йдеться про навчання у школі, де важливо зберігати концентрацію.   Думки про гаджети в школі розділені. Батьки переважно вважають використання телефонів в школі справедливим правом дитини на звязок, а вчителі закликають обм;Ірина Танасійчук;;;;;;6875;
ППО замало не буває: начальник КМВА розповів про захист Києва і куди йти у разі блекауту;Інтернет;ТСН;Україна;Київ (Центральні);;ТОП-100;Новини та медіа;23.11.2024 06:00;23.11.2024 06:03;https://tsn.ua/exclusive/ppo-zamalo-ne-buvaye-nachalnik-kmva-rozpoviv-pro-zahist-kiyeva-i-kudi-yti-u-razi-blekautu-2707530.html;  Сергій Попко розповів, чому важливо не ігнорувати тривоги, що зроблять з аварійними мостами Києва і чи буде цьогоріч головна ялинка країни.   Реклама  З настанням холодної пори Київ практично щоденно піддається повітряним атакам ворога. Але попри все  місто живе та функціонує в умовах повномасштабної війни.    Сергій Попко  , вже понад два роки очолює Київську міську військову адмініс;Олександр Марущак;;;;;;4648;
Дива трапляються. І найчастіше  це результат роботи, яку ви недооцінюєте. Журналісти отримали перемоги та визнання на конкурсі Люди дії: ті, хто створюють майбутнє;Інтернет;ursamedia.com.ua;Україна;Київ (Центральні);;Маловідомий;Природа та середовище;19.11.2024 19:57;20.11.2024 01:01;https://ursamedia.com.ua/novyny/zhurnalisty-ursa-media-otrymaly-peremogy-ta-vyznannya-na-konkursi/; Журналісти онлайн-видання URSA.MEDIA, яке працює на громадських засадах, здобули визнання на конкурсі Люди дії. Артем Листопад отримав перемогу в своїй номінації та взяв гран-прі конкурсу. Далі розповідаємо, хто ще отримав перемогу в конкурсі та які матеріали обрали журі. URSA.MEDIA взяли участь в конкурсі Люди дії. Що представили? Журналісти екологічно-суспільного видання URSA.MEDI;Мерва Ангеліна;;;;;;53;
Гість студії - Кирило Міненко;ТБ;ICTV;Україна;Київ (Центральні);Київ;Національний;Новини та медіа;22.02.2024 10:13;22.02.2024 13:15;https://videostorage1.looqme.io/storage_tv/ICTV/2024-02-22/ICTV-2024-02-22T10:13:00+02:00-2024-02-22T10:25:00+02:00.mp4?prime=False;Холтавська, Харківська, Донецька, Дніпропетровська, Запорізька, Кіровоградська, Миколаївська, Одеська та Херсонська області. Наразі тут оголошена повітряна тривога. За інформацією повітряних сил Збройних сил України є загроза застосування балістичного озброєння. Тому будьте пильні, не ігноруйте. І ми згодом повернемося і повідомимо про будь-які ризики, які будуть з'являтися далі. Будь ла;;;;;;;327155;
Популярний Telegram  шпигун у кишені кожного українця?;Інтернет;Радіо Свобода;Україна;Київ (Центральні);;ТОП-100;Новини та медіа;01.05.2024 22:21;01.05.2024 22:21;https://www.radiosvoboda.org/a/telegram-ukrayina-rosiya-shpyhun/32929484.html;  Telegram став ключовою соцмережею під час війни в Україні. Згідно з дослідженням Інтерньюз,   72% українців використовують Telegram   для новин. Деякі державні органи також довіряють цій соціальній мережі, використовуючи її для офіційної комунікації.     Критики вважають, що   Telegram відіграє певну роль у російській дезінформації. Що ж каже українська влада?    КИЇВ  Мобільні теле;;;;;;;4375;
Підсумки 2023: рік трансформації;Інтернет;itua.info;Україна;Київ (Центральні);;Маловідомий;Технології;27.02.2024 15:06;27.02.2024 22:26;https://itua.info/technology/44703.html; Зміст    Трансформація ринку безпеки  Бізнес-інструменти для PRO   Ajax Academy  Partner Portal  Де купити 2.0   Ajax Special Event  Нові продукти   Відеоспостереження  Сертифікації  Лінійка продуктів Superior  Лінійка продуктів Fibra  KeyPad TouchScreen  Виявлення пожежі  Outlet Jeweller  1224V PSU  Ajax SIM  Ajax Ready   Еволюція софту  Нагороди  Команда  Заради перемоги   Застосунок;;;;;;;2458;
Ajax Special Event 2023: Керуй своїм простором;Інтернет;ajax.systems;Україна;Київ (Центральні);;Маловідомий;Корпоративні;20.10.2023 20:01;28.08.2024 20:01;https://ajax.systems/ua/blog/special-event-2023/; 20 жовтня Ajax Systems провела пятий Ajax Special Event  онлайн-презентацію нових пристроїв і можливостей софту. Компанія почала освоювати світовий ринок охоронних систем 8 років тому, а зараз активно розширює продуктове портфоліо. Ajax Systems представила пристрої системи відеоспостереження з інноваційним підходом до приватності.   Крім того, компанія суттєво вдосконалила охоронні й ;;;;;;;;
"""Не можна уявити світ, де б Україна програла"". Чеський поет Малієвський оселився у літрезиденції будинку ""Слово""";Інтернет;suspilne.media;Україна;Київ (Центральні);;ТОП-100;Новини та медіа;21.04.2024 10:26;21.04.2024 10:30;https://suspilne.media/kharkiv/686558-ne-mozna-uaviti-svit-de-b-ukraina-prograla-ceskij-poet-malievskij-oselivsa-u-litrezidencii-budinku-slovo/;"    Чеський фотограф та поет Ігор Малієвський приїхав працювати у літературній резиденції у будинку ""Слово"". У Харкові Малієвський пише твори та фотографує: свої напрацювання про місто планує використати для публікацій у європейських журналах.    Суспільне Харків чеський митець розповів про бачення Харкова, війну, своє українське коріння, ""трамвайні дрифти"" та характерну рису російської ";;;;;;;;
Україна  в нашому ТОП-3. Інтервю з Сашою Мішо та Мариною Павлюк про Glovo та конференцію PowerUp;Інтернет;ain.ua;Україна;Київ (Центральні);;Національний;Технології;28.06.2024 14:30;28.06.2024 14:31;https://ain.ua/2024/06/28/glovo-zrostannia-v-ukraini-interview-sacha-michaud/;  Попри складне економічне становище, компанія курєрської доставки Glovo продовжує набирати обертів в Україні. Станом на перше півріччя 2024-го року зростання сягнуло 23%, поступово наближаючись до відмітки у 30%. Компанія співпрацювала з понад 70 000 курєрів, зараз має 12 000 партнерів і понад 250 співробітників у своєму українському офісі.   В інтервю для AIN.Capital засновник Glovo;Ростислав Собачинський;;;;;;1762;
КАБи  це намагання росіян створити аналог американської зброї: речник Повітряних сил Євлаш  про захист неба, Telegram, російську дезінформацію, Привида Києва та комунікації;Інтернет;bukvy.org;Україна;Київ (Центральні);;Національний;Новини та медіа;02.05.2024 15:50;02.05.2024 15:52;https://bukvy.org/kaby-cze-namagannya-rosiyan-stvoryty-analog-amerykanskoyi-zbroyi-rechnyk-povitryanyh-syl-yevlash-pro-zahyst-neba-telegram-rosijsku-dezinformacziyu-pryvyda-kyyeva-ta/; Ілля Євлаш  майор ЗСУ, журналіст, комунікаційник. З 18 березня 2024 року обіймає посаду речника Збройних сил України. До того протягом двох років  з 2022 по 2024 роки  очолював службу звязків з громадськістю угруповання сил і засобів оборони Києва і пресслужбу оперативно-стратегічного угруповання військ Хортиця. Саме він був одним із тих, хто створив героїчний образ Привида Києва;;;;;;;410;
Всі ракети, які летіли на Київ, збила ППО,  КМВА  Новини Полтавщини;Інтернет;top-news.com.ua;Україна;Київ (Центральні);;Маловідомий;Консолідатори;15.02.2024 08:06;15.02.2024 08:07;https://top-news.com.ua/mista/poltava/vsi-rakety-yaki-letily-na-kyyiv-zbyla-ppo-kmva-novyny-poltavshhyny/;     Силами і засобами протиповітряної оборони були знищені усі ворожі ракети, які летіли на Київ.    Про це повідомили у Київській військовій міській адміністрації.   Зазначається, що черговий ракетний удар по Україні був комбінованим. Ракети різного типу заходили на Київ з різних напрямків.   Повітряна тривога в столиці тривала понад 2 години. Точну кількість та тип ракет мають повідом;;;;;;;;
"""Не можна уявити світ, де б Україна програла"". Чеський поет Малієвський оселився у літрезиденції будинку ""Слово""";Інтернет;suspilne.media;Україна;Київ (Центральні);;ТОП-100;Новини та медіа;19.02.2024 11:00;19.02.2024 11:21;https://suspilne.media/686558-ne-mozna-uaviti-svit-de-b-ukraina-prograla-ceskij-poet-malievskij-oselivsa-u-litrezidencii-budinku-slovo/;"    Чеський фотограф та поет Ігор Малієвський приїхав працювати у літературній резиденції у будинку ""Слово"". У Харкові Малієвський пише твори та фотографує: свої напрацювання про місто планує використати для публікацій у європейських журналах.    Суспільне Харків чеський митець розповів про бачення Харкова, війну, своє українське коріння, ""трамвайні дрифти"" та характерну рису російської ";;;;;;;;
За 12 км від Росії: як за два роки широкої війни змінилося життя прикордонної Семенівки на Чернігівщині;Інтернет;suspilne.media;Україна;Київ (Центральні);;ТОП-100;Новини та медіа;23.02.2024 18:00;23.02.2024 18:09;https://suspilne.media/690372-za-12-km-vid-rosii-ak-za-dva-roki-sirokoi-vijni-zminilosa-zitta-prikordonnoi-semenivki-na-cernigivsini/;    Обстріли, міграція населення, нестача лікарів та складна економічна ситуація  так сьогодні живе Семенівка, від якої до кордону з Російською Федерацією близько 12 кілометрів. На Чернігівщині серед усіх прикордонних центрів громад Семенівка потрапляє під ворожий обстріл найчастіше. Попри це, життя тут триває. Як живуть люди у місті, як повномасштабне вторгнення вплинуло на жителів Сем;;;;;;;683;
Директор Охматдиту Володимир Жовнір після ракетної атаки Росії виступив на засіданні Радбезу ООН: текст промови. ДОПОВНЕНО;Інтернет;novynarnia.com;Україна;Київ (Центральні);;Національний;Новини та медіа;09.07.2024 21:36;09.07.2024 21:36;https://novynarnia.com/2024/07/09/volodymyr-zhovnir/;  доповнено    Гендиректор київської дитячої лікарні Охматдит Володимир Жовнір виступив онлайн на засіданні Радбезу ООН. Він повідомив, що в момент російської атаки на лікарню 8 липня всередині перебували понад 600 пацієнтів і майже стільки ж працівників, проводились три складні операції.   Про це у вівторок, 9 липня, повідомляє Суспільне.   За словами Жовніра, поранені 300 людей, з ;;;;;;;703;
Життя перемагає. Як попри виклики війни у центрі Херсона продовжує роботу магазин побутової техніки та електроніки Фокстрот та яка команда там працює;Інтернет;forbes.ua;Україна;Київ (Центральні);;ТОП-100;Ділові;27.02.2024 16:00;27.02.2024 17:05;https://forbes.ua/brandvoice/zhittya-peremagae-yak-popri-vikliki-viyni-u-tsentri-khersona-prodovzhue-robotu-magazin-pobutovoi-tekhniki-ta-elektroniki-fokstrot-ta-yaka-komanda-tam-pratsyue-27022024-19401; До початку повномасштабної війни Херсон у більшості українців асоціювався з найсмачнішими кавунами. Проте сьогодні, коли місто пережило окупацію і щодня потерпає від страшних обстрілів, воно стало одним із прикладів незламності духу. Станом на 1 січня 2024-го у Херсоні мешкає близько 60 000 людей, які продовжують жити та працювати. Серед містян тепер також багато військовослужбовців, як;Forbes BrandVoice;;;;;;1854;
10 березня відбудеться премєра документального фільму про місії ГУР  Новини Полтавщини;Інтернет;top-news.com.ua;Україна;Київ (Центральні);;Маловідомий;Консолідатори;08.03.2024 19:43;08.03.2024 19:46;https://top-news.com.ua/mista/poltava/10-bereznya-vidbudetsya-premyera-dokumentalnogo-filmu-pro-misiyi-gur-novyny-poltavshhyny/;     10 березня 2024 року о 22:15 в ефірі національного телемарафону Єдині новини глядачі зможуть побачити документальний фільм Війна за море: від Дніпра до Криму із циклу Воєнна розвідка України.    Про це повідомляє пресслужба Головного управління розвідки ГУР МО України.   Фільм розкриває невідомі деталі бойових місій спецпідрозділів ГУР МО України та інших складових Сил безпеки;;;;;;;;
Для чого росія намагається зірвати евакуацію дітей з Харківщини,  пояснення ЦПД  Новини Полтавщини;Інтернет;top-news.com.ua;Україна;Київ (Центральні);;Маловідомий;Консолідатори;07.03.2024 17:20;07.03.2024 17:51;https://top-news.com.ua/mista/poltava/dlya-chogo-rosiya-namagayetsya-zirvaty-evakuacziyu-ditej-z-harkivshhyny-poyasnennya-czpd-novyny-poltavshhyny/;     Центр протидії дезінформації при РНБО України попереджає про чергову пропагандистську кампанію Росії , спрямовану на заважання евакуації дітей з Купянського району Харківської області, який потерпає від масованих обстрілів з боку ворога.    Пропагандисти поширюють дезінформаційні повідомлення, в яких залякують людей, аби вони не евакуювалися. Їх лякають тим, що у їхні домівки одраз;;;;;;;;
"Zara, Pull&amp;Bear, Massimo Dutti, Bershka, Stradivarius, Oysho та Zara Home офіційно повертаються в Україну  Новини Полтавщини";Інтернет;top-news.com.ua;Україна;Київ (Центральні);;Маловідомий;Консолідатори;08.03.2024 16:09;08.03.2024 16:19;https://top-news.com.ua/mista/poltava/zara-pullbear-massimo-dutti-bershka-stradivarius-oysho-ta-zara-home-oficzijno-povertayutsya-v-ukrayinu-novyny-poltavshhyny/;"     Популярні бренди одягу Zara, Pull&amp;Bear, Massimo Dutti, Bershka, Stradivarius, Oysho та Zara Home, що належать одній з найвідоміших дистрибюторських груп в індустрії моди Inditex, офіційно повертаються в Україну.    Про це повідомляє МЗС України.   На доручення Президента України з 2022 року МЗС веде системну роботу з усіма провідними міжнародними брендами, які залишили українс";;;;;;;;
Вночі росіяни атакували Україну БПЛА, знищено 33 з 37 шахедів  Новини Полтавщини;Інтернет;top-news.com.ua;Україна;Київ (Центральні);;Маловідомий;Консолідатори;08.03.2024 07:43;08.03.2024 08:08;https://top-news.com.ua/mista/poltava/vnochi-rosiyany-atakuvaly-ukrayinu-bpla-znyshheno-33-z-37-shahediv-novyny-poltavshhyny/;     У ніч на 8 березня 2024 року російські окупанти здійснили чергову атаку на південь та схід України, застосувавши 37 ударних безпілотників Shahed, 1 зенітну керовану ракету С-300 та 2 керовані авіаційні ракети Х-59.    Про це повідомили Повітряні Сили ЗСУ.   Завдяки злагодженій роботі українських сил оборони вдалося відбити повітряний напад. Зенітні ракетні підрозділи Повітряних Сил,;;;;;;;;
